Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company,Weekend,Daytime
2305,17.99,45.75,10.05,4.0,60.3,Credit Card,Chicago Independents,False,True
462,1.15,9.0,2.15,0.0,11.15,Mobile,Taxicab Insurance Agency Llc,False,False
725,1.83,8.75,0.0,1.5,10.25,Cash,Chicago Independents,True,True
2881,17.86,46.0,10.1,4.0,60.6,Credit Card,Taxicab Insurance Agency Llc,False,True
818,3.61,12.5,2.6,0.0,15.6,Credit Card,Sun Taxi,True,True
882,2.56,10.09,0.0,0.0,10.09,Mobile,Chicago Independents,False,False
430,0.97,6.5,1.25,0.0,8.25,Credit Card,Chicago Independents,True,True
2506,10.11,30.75,0.0,0.0,30.75,Prcard,Flash Cab,False,True
3220,17.7,45.0,9.9,4.0,59.4,Credit Card,Globe Taxi,False,True
2873,13.85,37.5,8.4,4.0,50.4,Credit Card,Star North Taxi Management Llc,False,True
1200,7.5,21.0,0.0,0.0,21.0,Unknown,Taxi Affiliation Services,False,True
2383,24.05,58.75,10.01,7.5,76.76,Credit Card,Blue Ribbon Taxi Association,False,True
722,3.26,10.79,5.0,0.0,15.79,Mobile,City Service,False,False
1000,2.86,12.0,3.62,2.0,18.12,Credit Card,Sun Taxi,False,True
4476,19.81,56.0,12.5,6.0,75.0,Credit Card,Taxicab Insurance Agency Llc,False,True
1505,17.68,75.0,15.1,0.0,90.6,Credit Card,Chicago Independents,False,True
408,1.26,6.75,3.0,0.0,10.25,Credit Card,Sun Taxi,False,True
574,2.19,9.5,2.3,0.0,11.8,Mobile,Medallion Leasin,False,True
891,2.22,10.25,1.91,2.0,14.66,Credit Card,Medallion Leasin,False,True
360,0.8,6.0,0.0,0.0,6.0,Cash,Taxi Affiliation Services,False,True
1620,11.3,30.0,6.9,4.0,40.9,Credit Card,Choice Taxi Association,False,True
480,1.6,7.75,1.0,0.0,8.75,Credit Card,Choice Taxi Association,True,True
312,1.36,6.5,0.0,0.0,7.0,Credit Card,Chicago Independents,False,True
1680,12.7,33.75,0.0,0.0,33.75,Unknown,Taxi Affiliation Services,False,True
264,0.63,5.25,0.0,0.0,5.25,Cash,Flash Cab,False,True
276,0.99,5.75,2.0,0.0,8.25,Credit Card,Flash Cab,False,True
1127,3.82,14.0,5.0,0.0,19.5,Mobile,City Service,False,True
480,1.5,7.5,2.0,0.0,9.5,Credit Card,Taxi Affiliation Services,False,True
2259,10.68,30.25,6.15,0.0,36.4,Prcard,Flash Cab,False,True
209,0.33,4.5,0.0,1.0,5.5,Cash,Blue Ribbon Taxi Association,False,True
1620,10.0,27.25,0.0,0.0,27.25,Unknown,Taxi Affiliation Services,False,True
655,1.2,7.75,1.0,0.0,9.25,Credit Card,City Service,False,True
541,1.39,7.5,1.6,0.0,9.6,Mobile,Sun Taxi,False,True
720,2.0,9.5,2.0,0.0,11.5,Credit Card,U Taxicab,False,True
2016,17.46,44.5,9.8,4.0,58.8,Credit Card,City Service,True,True
498,1.0,6.75,2.0,0.0,9.25,Credit Card,Flash Cab,False,True
850,1.82,9.75,3.0,0.0,13.25,Credit Card,City Service,False,True
761,2.22,9.5,0.0,1.0,10.5,Prcard,City Service,False,True
839,2.32,10.5,4.0,0.0,15.0,Credit Card,Sun Taxi,False,True
600,2.0,9.0,2.0,1.0,12.0,Credit Card,Taxi Affiliation Services,False,True
329,0.7,5.5,0.0,1.0,6.5,Cash,City Service,False,True
1160,5.78,16.16,4.91,0.0,21.07,Mobile,Chicago Independents,False,True
969,11.0,29.0,0.0,0.0,29.0,Prcard,City Service,True,True
1260,11.7,30.5,1.0,5.0,36.5,Credit Card,U Taxicab,False,False
1920,9.4,26.75,0.0,0.0,26.75,Cash,Taxi Affiliation Services,False,True
1031,10.47,33.68,0.0,0.0,33.68,Cash,Flash Cab,False,False
1620,0.6,28.0,0.0,0.0,28.0,Unknown,Taxi Affiliation Services,False,True
360,0.95,6.0,0.0,0.0,6.0,Cash,Flash Cab,False,True
413,1.13,6.5,3.0,0.0,10.0,Credit Card,Sun Taxi,True,False
636,1.22,7.5,0.0,2.0,9.5,Cash,Medallion Leasin,False,True
120,0.4,4.25,10.0,0.0,14.25,Credit Card,Taxi Affiliation Services,False,True
1223,10.44,27.75,8.56,6.0,42.81,Credit Card,City Service,False,False
2697,16.45,42.5,9.8,6.0,58.8,Credit Card,Taxicab Insurance Agency Llc,False,True
1443,10.93,28.75,0.0,0.0,28.75,Cash,Globe Taxi,False,True
1020,5.1,16.0,0.0,0.5,16.5,Unknown,Taxi Affiliation Services,False,True
560,1.85,8.5,3.0,1.0,13.0,Credit Card,Taxicab Insurance Agency Llc,True,True
2128,17.99,45.0,0.0,5.5,50.5,Cash,Sun Taxi,True,True
1454,18.48,45.5,5.0,4.0,55.0,Credit Card,Taxicab Insurance Agency Llc,True,True
2842,14.35,39.0,10.88,4.0,54.38,Credit Card,Sun Taxi,False,True
1955,17.45,43.0,9.5,4.0,57.0,Credit Card,Flash Cab,True,False
240,0.5,5.0,1.2,1.0,7.2,Credit Card,Taxi Affiliation Services,True,True
900,0.1,11.25,0.0,0.0,11.25,Cash,Taxi Affiliation Services,True,True
660,2.1,9.5,0.0,0.0,9.5,Cash,Top Cab Affiliation,True,True
1860,17.79,45.0,9.1,0.0,54.6,Mobile,City Service,False,True
315,1.3,6.5,0.0,0.0,6.5,Cash,5 Star Taxi,False,True
528,1.34,7.5,0.0,1.0,8.5,Cash,Sun Taxi,False,True
888,7.73,22.0,0.0,1.0,23.0,Cash,Sun Taxi,False,True
468,1.62,7.5,3.0,1.0,12.0,Credit Card,Medallion Leasin,False,True
962,2.42,10.5,0.0,19.5,30.5,Credit Card,City Service,False,True
3274,17.99,47.75,10.45,4.0,62.7,Credit Card,Taxicab Insurance Agency Llc,False,True
778,2.35,10.0,0.0,0.0,10.0,Cash,Flash Cab,True,True
866,4.32,15.25,0.0,0.0,15.25,Cash,Taxicab Insurance Agency Llc,False,True
160,1.73,42.02,0.0,0.0,42.02,Cash,Flash Cab,False,True
1857,13.8,36.75,8.45,5.0,50.7,Credit Card,City Service,True,True
84,0.13,3.75,0.0,0.0,3.75,Cash,City Service,False,True
540,1.2,7.25,2.0,0.0,9.75,Credit Card,Globe Taxi,False,True
1200,0.2,15.25,0.0,0.0,15.25,Cash,Taxi Affiliation Services,True,False
2995,17.17,44.75,5.0,5.0,55.25,Credit Card,Sun Taxi,False,True
1330,17.29,43.0,6.0,6.0,55.5,Credit Card,Medallion Leasin,False,False
148,0.11,4.0,0.0,0.0,4.0,Cash,Flash Cab,True,False
887,3.22,12.42,2.91,0.0,15.33,Mobile,Globe Taxi,False,True
452,0.72,6.0,3.0,1.0,10.5,Credit Card,Chicago Independents,False,True
2280,15.1,39.25,8.75,4.0,52.0,Credit Card,"Taxicab Insurance Agency, LLC",True,True
783,5.13,16.0,0.0,0.0,16.0,Cash,Flash Cab,True,True
1320,3.5,14.75,0.0,0.0,14.75,Cash,Taxi Affiliation Services,False,True
606,2.03,9.0,0.0,0.0,9.0,Cash,Flash Cab,False,True
1994,13.52,35.0,0.0,4.0,39.0,Cash,Taxicab Insurance Agency Llc,True,True
600,1.5,8.0,4.0,1.0,13.0,Credit Card,Taxi Affiliation Services,True,True
360,1.1,6.25,3.0,1.0,10.25,Credit Card,Taxi Affiliation Services,False,True
501,1.68,8.98,2.23,0.0,11.21,Mobile,City Service,True,True
287,0.4,4.75,0.0,0.0,4.75,Cash,Sun Taxi,False,True
629,3.22,11.07,2.71,0.0,13.78,Mobile,Flash Cab,True,True
839,4.29,15.17,3.56,0.0,18.73,Mobile,Taxicab Insurance Agency Llc,False,True
1569,2.48,13.75,0.0,1.0,14.75,Prcard,Sun Taxi,False,True
602,6.29,16.0,0.37,0.0,16.37,Mobile,City Service,False,False
281,1.11,6.0,3.0,1.0,10.5,Credit Card,Flash Cab,True,True
488,1.16,7.0,1.7,1.0,10.2,Mobile,Globe Taxi,False,True
1098,3.72,13.75,2.36,1.5,18.11,Credit Card,Flash Cab,True,True
1560,17.6,43.5,8.8,0.0,52.3,Credit Card,Taxi Affiliation Services,False,False
434,4.29,13.25,3.55,4.0,21.3,Credit Card,Chicago Independents,False,True
371,0.29,9.5,2.34,0.0,11.84,Mobile,Chicago Independents,False,True
543,1.04,7.0,2.0,0.0,9.5,Credit Card,Sun Taxi,False,True
2767,19.21,48.25,2.0,15.0,65.75,Credit Card,Taxicab Insurance Agency Llc,True,True
1592,7.8,22.75,0.0,0.0,22.75,Cash,Medallion Leasin,False,True
2574,17.86,44.0,9.7,4.0,58.2,Credit Card,Flash Cab,False,False
963,3.53,12.68,1.24,0.0,13.92,Mobile,Globe Taxi,False,True
2940,14.1,36.75,8.45,5.0,50.2,Credit Card,Taxi Affiliation Services,True,True
900,3.0,12.0,2.5,0.0,14.5,Credit Card,Choice Taxi Association,False,True
235,0.5,5.0,2.0,1.0,8.5,Credit Card,Globe Taxi,False,False
2141,11.11,31.25,0.0,0.0,31.25,Prcard,5 Star Taxi,False,True
415,0.84,6.25,0.0,0.0,6.25,Cash,Flash Cab,False,True
929,7.56,19.21,2.24,0.0,21.45,Mobile,Sun Taxi,False,True
